id,5BZCATName,SourceClassification,R.A.(J2000),Dec.(J2000),Redshift
573,5BZQJ0351-1153,QSORLoudflatradiosp.,57.79575,-11.88964,1.52
574,5BZQJ0351-7921,QSORLoudflatradiosp.,57.85629,-79.36564,1.333
575,5BZBJ0351-3703,BLLac,57.97737,-37.06228,0.165
576,5BZBJ0353-3623,BLLac,58.27096,-36.38567,
577,5BZQJ0354-1616,QSORLoudflatradiosp.,58.60425,-16.27292,1.187
578,5BZBJ0354+8009,BLLacCandidate,58.69221,80.158,
579,5BZBJ0357-4955,BLLac,59.25071,-49.93017,0.643
580,5BZUJ0357+2319,BlazarUncertaintype,59.34004,23.33161,1.484
581,5BZQJ0357-4812,QSORLoudflatradiosp.,59.34133,-48.20422,1.005
582,5BZQJ0357-4159,QSORLoudflatradiosp.,59.40321,-41.98369,1.271
583,5BZQJ0357-0751,QSORLoudflatradiosp.,59.43038,-7.85406,1.05
584,5BZQJ0357+0542,QSORLoudflatradiosp.,59.44221,5.70869,2.164
585,5BZBJ0358-3054,BLLacCandidate,59.73375,-30.91328,
586,5BZQJ0359+5057,QSORLoudflatradiosp.,59.87396,50.96394,1.512
587,5BZBJ0359-2615,BLLac,59.89033,-26.25869,
588,5BZQJ0359+3220,QSORLoudflatradiosp.,59.93712,32.34644,1.331
589,5BZQJ0400+0550,QSORLoudflatradiosp.,60.04892,5.84531,0.761
590,5BZGJ0401-1606,BLLac-galaxydominated,60.27767,-16.11083,0.032
591,5BZBJ0401+8153,BLLacCandidate,60.36967,81.88664,0.215
592,5BZQJ0401+2110,QSORLoudflatradiosp.,60.43821,21.17461,0.834
593,5BZBJ0402-2615,BLLac,60.50325,-26.26092,
594,5BZQJ0402-3147,QSORLoudflatradiosp.,60.58863,-31.79053,1.288
595,5BZQJ0403+2600,QSORLoudflatradiosp.,60.77329,26.00042,2.109
596,5BZBJ0403-2429,BLLac,60.85233,-24.49717,0.357
597,5BZQJ0403-2444,QSORLoudflatradiosp.,60.92392,-24.73569,0.598
598,5BZQJ0403-3605,QSORLoudflatradiosp.,60.97396,-36.08386,1.417
599,5BZQJ0405-0739,QSORLoudflatradiosp.,61.25333,-7.65567,2.817
600,5BZQJ0405-1308,QSORLoudflatradiosp.,61.39167,-13.13714,0.571
601,5BZQJ0406-1749,QSORLoudflatradiosp.,61.551,-17.83275,1.64
602,5BZQJ0406+0637,QSORLoudflatradiosp.,61.643,6.62086,0.666
603,5BZUJ0406-3826,BlazarUncertaintype,61.74596,-38.44111,1.285
604,5BZBJ0407+0742,BLLac,61.87121,7.70208,1.133
605,5BZQJ0407-3303,QSORLoudflatradiosp.,61.89129,-33.06289,2.562
606,5BZUJ0407-1211,BlazarUncertaintype,61.95179,-12.19353,0.573
607,5BZQJ0409-1238,QSORLoudflatradiosp.,62.27404,-12.64669,1.563
608,5BZBJ0409-0555,BLLac,62.29729,-5.92481,
609,5BZBJ0409+1217,BLLac,62.34171,12.29439,0.504
610,5BZBJ0409+0640,BLLac,62.35771,6.67642,0.805
611,5BZBJ0409-0400,BLLac,62.44413,-4.001,
612,5BZQJ0410-7750,QSORLoudflatradiosp.,62.67629,-77.84536,2.449
613,5BZQJ0410-1636,QSORLoudflatradiosp.,62.7475,-16.60278,0.622
614,5BZBJ0411-3941,BLLac,62.79688,-39.69517,
615,5BZQJ0411-5149,QSORLoudflatradiosp.,62.90479,-51.82317,1.257
616,5BZQJ0412+0010,QSORLoudflatradiosp.,63.13942,0.18014,1.13
617,5BZQJ0412+0438,QSORLoudflatradiosp.,63.15912,4.63503,1.081
618,5BZQJ0412-4604,QSORLoudflatradiosp.,63.20954,-46.08047,2.223
619,5BZQJ0413-5332,QSORLoudflatradiosp.,63.30617,-53.53347,1.024
620,5BZQJ0415-4023,QSORLoudflatradiosp.,63.81021,-40.39475,1.389
621,5BZUJ0416-2056,BlazarUncertaintype,64.01817,-20.94097,0.807
622,5BZUJ0416-4355,BlazarUncertaintype,64.02425,-43.92072,0.398
623,5BZQJ0416-1851,QSORLoudflatradiosp.,64.15225,-18.85231,1.536
624,5BZBJ0416+0105,BLLac,64.21871,1.08997,0.287
625,5BZQJ0419-2132,QSORLoudflatradiosp.,64.75175,-21.54325,1.646
626,5BZQJ0419-3010,QSORLoudflatradiosp.,64.94671,-30.17328,1.003
627,5BZQJ0420-1501,QSORLoudflatradiosp.,65.07662,-15.02406,1.18
628,5BZQJ0421-4818,QSORLoudflatradiosp.,65.3645,-48.30144,0.527
629,5BZBJ0421-0629,BLLacCandidate,65.38717,-6.48422,0.391
630,5BZQJ0422-0643,QSORLoudflatradiosp.,65.545,-6.72925,0.242
631,5BZQJ0422-3844,QSORLoudflatradiosp.,65.56162,-38.74803,3.11
632,5BZBJ0422+1950,BLLac,65.57637,19.84861,0.516
633,5BZQJ0422+1741,QSORLoudflatradiosp.,65.69908,17.68775,0.908
634,5BZQJ0422+0219,QSORLoudflatradiosp.,65.71754,2.32414,2.277
635,5BZQJ0423-0120,QSORLoudflatradiosp.,65.81583,-1.34253,0.916
636,5BZBJ0423+4150,BLLacCandidate,65.98337,41.83408,
637,5BZQJ0424+0204,QSORLoudflatradiosp.,66.03567,2.07361,2.056
638,5BZQJ0424-3848,QSORLoudflatradiosp.,66.1405,-38.81156,2.346
639,5BZQJ0424-3756,QSORLoudflatradiosp.,66.176,-37.93911,0.782
640,5BZBJ0424+0036,BLLac,66.19517,0.60178,
641,5BZQJ0424+0805,QSORLoudflatradiosp.,66.24,8.08806,3.085
642,5BZBJ0425-5331,BLLac,66.26779,-53.53286,
643,5BZQJ0425-5754,QSORLoudflatradiosp.,66.26967,-57.91547,0.886
644,5BZGJ0425-0833,BLLac-galaxydominated,66.46383,-8.56108,0.039
645,5BZQJ0426+0518,QSORLoudflatradiosp.,66.6525,5.30553,1.333
646,5BZQJ0427-0756,QSORLoudflatradiosp.,66.80929,-7.94025,1.375
647,5BZQJ0428+3259,QSORLoudflatradiosp.,67.02421,32.99778,0.476
648,5BZQJ0428+1732,QSORLoudflatradiosp.,67.14846,17.53989,3.317
649,5BZBJ0428-3756,BLLac,67.16842,-37.93878,1.11
650,5BZGJ0428-3805,BLLac-galaxydominated,67.21192,-38.09736,0.15
651,5BZBJ0429-3236,BLLacCandidate,67.25071,-32.61144,
652,5BZQJ0429-4328,QSORLoudflatradiosp.,67.35421,-43.47681,1.423
653,5BZBJ0430-2507,BLLac,67.56671,-25.12747,
654,5BZQJ0431-0406,QSORLoudflatradiosp.,67.86704,-4.10758,0.628
655,5BZUJ0431+1731,BlazarUncertaintype,67.98908,17.52661,
656,5BZQJ0432-5109,QSORLoudflatradiosp.,68.08825,-51.157,0.557
657,5BZUJ0433+0521,BlazarUncertaintype,68.29621,5.35433,0.033
658,5BZBJ0433-4502,BLLac,68.30767,-45.0485,0.324
659,5BZQJ0433-6030,QSORLoudflatradiosp.,68.39213,-60.50383,0.93
660,5BZBJ0433+2905,BLLac,68.40763,29.09875,0.97
661,5BZQJ0433+3237,QSORLoudflatradiosp.,68.41946,32.61986,2.011
662,5BZQJ0434-4355,QSORLoudflatradiosp.,68.51354,-43.92978,2.649
663,5BZBJ0434-2015,BLLac,68.533,-20.25478,
664,5BZQJ0434-1442,QSORLoudflatradiosp.,68.57929,-14.71539,1.899
665,5BZBJ0434-2342,BLLac,68.62071,-23.70147,
666,5BZQJ0435-0811,QSORLoudflatradiosp.,68.78475,-8.18419,0.791
667,5BZQJ0435+2532,QSORLoudflatradiosp.,68.89408,25.54992,0.602
668,5BZQJ0435+2923,QSORLoudflatradiosp.,68.99321,29.39344,2.336
669,5BZQJ0437-1844,QSORLoudflatradiosp.,69.25617,-18.74683,2.702
670,5BZQJ0437-2954,QSORLoudflatradiosp.,69.40237,-29.90114,1.328
671,5BZQJ0438+3004,QSORLoudflatradiosp.,69.52062,30.07931,1.454
672,5BZQJ0438-1251,QSORLoudflatradiosp.,69.64592,-12.85094,1.285
673,5BZQJ0438-2012,QSORLoudflatradiosp.,69.71038,-20.20733,2.146
674,5BZBJ0439-4522,BLLac,69.75354,-45.37292,
675,5BZGJ0439+0520,BLLac-galaxydominated,69.75942,5.34547,0.208
676,5BZUJ0439-3210,BlazarUncertaintype,69.89117,-32.16939,
677,5BZQJ0439-3017,QSORLoudflatradiosp.,69.97167,-30.296,1.447
678,5BZQJ0440-4333,QSORLoudflatradiosp.,70.07158,-43.55239,2.852
679,5BZBJ0440-2459,BLLacCandidate,70.07737,-24.99281,0.6
680,5BZUJ0440+1437,BlazarUncertaintype,70.08808,14.6325,
681,5BZBJ0440+2750,BLLac,70.20992,27.84633,
682,5BZQJ0441-4313,QSORLoudflatradiosp.,70.32204,-43.22878,0.593
683,5BZBJ0441-2952,BLLacCandidate,70.33121,-29.87675,
684,5BZBJ0441+1504,BLLac,70.36446,15.08211,
685,5BZBJ0442-0018,BLLac,70.62587,-0.30828,0.449
686,5BZQJ0442-2825,QSORLoudflatradiosp.,70.65692,-28.42525,1.952
687,5BZQJ0442-0017,QSORLoudflatradiosp.,70.66108,-0.29539,0.845
688,5BZGJ0445-6014,BLLac-galaxydominated,71.25633,-60.24992,0.097
689,5BZQJ0446+3900,QSORLoudflatradiosp.,71.54787,39.00475,0.413
690,5BZQJ0447-0322,QSORLoudflatradiosp.,71.97808,-3.37842,0.774
691,5BZQJ0448-3659,QSORLoudflatradiosp.,72.06267,-36.98394,0.561
692,5BZQJ0448-2109,QSORLoudflatradiosp.,72.07242,-21.16242,1.971
693,5BZQJ0448-5041,QSORLoudflatradiosp.,72.09292,-50.69272,1.479
694,5BZQJ0448-2626,QSORLoudflatradiosp.,72.09983,-26.43744,1.764
695,5BZBJ0448-1632,BLLac,72.15683,-16.54522,
696,5BZQJ0448-7417,QSORLoudflatradiosp.,72.20225,-74.292,1.208
697,5BZQJ0448+1127,QSORLoudflatradiosp.,72.21004,11.46511,1.37
698,5BZQJ0449+1121,QSORLoudflatradiosp.,72.28196,11.35794,2.153
699,5BZQJ0449+6332,QSORLoudflatradiosp.,72.34712,63.53594,0.781
700,5BZBJ0449-4350,BLLac,72.35292,-43.83583,0.205
701,5BZQJ0449-4809,QSORLoudflatradiosp.,72.41496,-48.16131,1.497
702,5BZQJ0449-3911,QSORLoudflatradiosp.,72.42604,-39.18597,1.29
703,5BZQJ0449-0057,QSORLoudflatradiosp.,72.42875,-0.95619,0.487
704,5BZQJ0450-8101,QSORLoudflatradiosp.,72.52267,-81.01728,0.444
705,5BZQJ0450-1837,QSORLoudflatradiosp.,72.64962,-18.61678,2.05
706,5BZQJ0451-4653,QSORLoudflatradiosp.,72.97229,-46.88886,0.602
707,5BZQJ0452+1236,QSORLoudflatradiosp.,73.1775,12.60683,1.177
708,5BZQJ0453-2807,QSORLoudflatradiosp.,73.31104,-28.12703,2.564
709,5BZQJ0455-4615,QSORLoudflatradiosp.,73.96154,-46.26631,0.858
710,5BZQJ0456-3136,QSORLoudflatradiosp.,74.15283,-31.60347,0.865
711,5BZQJ0456+0400,QSORLoudflatradiosp.,74.19654,4.01469,1.349
712,5BZQJ0457-2324,QSORLoudflatradiosp.,74.26325,-23.41444,1.003
713,5BZQJ0457+0645,QSORLoudflatradiosp.,74.28213,6.75203,0.405
714,5BZQJ0457-1819,QSORLoudflatradiosp.,74.47638,-18.32114,1.527
715,5BZQJ0501-0159,QSORLoudflatradiosp.,75.30338,-1.98731,2.291
716,5BZQJ0502+0609,QSORLoudflatradiosp.,75.56437,6.15208,1.106
717,5BZBJ0502+1338,BLLac,75.63837,13.63636,
718,5BZBJ0503+6534,BLLacCandidate,75.77425,65.567,
719,5BZBJ0503-1115,BLLac,75.89763,-11.25169,
720,5BZQJ0503+6600,QSORLoudflatradiosp.,75.98517,66.00875,1.696
721,5BZQJ0503+3403,QSORLoudflatradiosp.,75.98658,34.05781,0.149
722,5BZUJ0504-6049,BlazarUncertaintype,76.00708,-60.83125,1.037
723,5BZQJ0505+0459,QSORLoudflatradiosp.,76.34658,4.99519,0.954
724,5BZBJ0505+0415,BLLac,76.39492,4.26519,0.424
725,5BZQJ0505-0419,QSORLoudflatradiosp.,76.4635,-4.32406,1.481
726,5BZQJ0505-2930,QSORLoudflatradiosp.,76.48267,-29.51061,1.07
727,5BZBJ0505+6113,BLLac,76.49496,61.22664,
728,5BZBJ0506-0858,BLLac,76.66621,-8.96711,
729,5BZQJ0506-6109,QSORLoudflatradiosp.,76.68329,-61.16139,1.093
730,5BZBJ0506-5435,BLLac,76.74083,-54.58439,
731,5BZQJ0507-6104,QSORLoudflatradiosp.,76.97779,-61.07864,1.089
732,5BZBJ0507+6737,BLLac,76.98438,67.62344,0.416
733,5BZQJ0508-6433,QSORLoudflatradiosp.,77.08496,-64.55481,0.518
734,5BZBJ0508+8432,BLLac,77.1765,84.53458,1.34
735,5BZBJ0509+0541,BLLac,77.35817,5.69314,
736,5BZQJ0509+1011,QSORLoudflatradiosp.,77.36442,10.19572,0.621
737,5BZBJ0509-0400,BLLacCandidate,77.40892,-4.01264,0.304
738,5BZBJ0509-2514,BLLac,77.41608,-25.23433,0.264
739,5BZQJ0510+1800,QSORLoudflatradiosp.,77.50987,18.01156,0.416
740,5BZQJ0511+1357,QSORLoudflatradiosp.,77.90963,13.95531,1.696
741,5BZQJ0513+0100,QSORLoudflatradiosp.,78.41679,1.006,2.679
742,5BZQJ0513-2159,QSORLoudflatradiosp.,78.45463,-21.98781,1.296
743,5BZQJ0514+5602,QSORLoudflatradiosp.,78.57792,56.03642,2.19
744,5BZQJ0515-4556,QSORLoudflatradiosp.,78.93846,-45.94536,0.194
745,5BZBJ0515+1527,BLLac,78.94729,15.45458,
746,5BZQJ0516-1603,QSORLoudflatradiosp.,79.06638,-16.05211,1.278
747,5BZBJ0516+7351,BLLac,79.13004,73.85239,
748,5BZBJ0516-6207,BLLac,79.18721,-62.11817,1.3
749,5BZQJ0516-1537,QSORLoudflatradiosp.,79.23829,-15.61956,1.595
750,5BZQJ0517-0520,QSORLoudflatradiosp.,79.36713,-5.34467,1.413
751,5BZUJ0517+0858,BlazarUncertaintype,79.41687,8.97661,0.328
752,5BZQJ0517+0648,QSORLoudflatradiosp.,79.46392,6.80089,0.84
753,5BZQJ0521-1737,QSORLoudflatradiosp.,80.34817,-17.62506,0.347
754,5BZBJ0521+2112,BLLac,80.44154,21.21431,
755,5BZQJ0522+0113,QSORLoudflatradiosp.,80.57279,1.22533,2.941
756,5BZQJ0522-0725,QSORLoudflatradiosp.,80.59667,-7.42039,0.164
757,5BZQJ0522-6107,QSORLoudflatradiosp.,80.64346,-61.13253,1.4
758,5BZQJ0522-1627,QSORLoudflatradiosp.,80.68604,-16.46456,1.297
759,5BZUJ0522-3627,BlazarUncertaintype,80.74158,-36.45856,0.056
760,5BZQJ0523-2614,QSORLoudflatradiosp.,80.82696,-26.236,3.109
761,5BZUJ0525-3343,BlazarUncertaintype,81.27571,-33.71819,4.413
762,5BZQJ0525-2338,QSORLoudflatradiosp.,81.27713,-23.63633,3.1
763,5BZQJ0525-4557,QSORLoudflatradiosp.,81.38083,-45.96519,1.479
764,5BZQJ0525-4318,QSORLoudflatradiosp.,81.47871,-43.30033,2.164
765,5BZQJ0526-4830,QSORLoudflatradiosp.,81.56946,-48.51022,1.3
766,5BZBJ0527+0331,BLLac,81.88629,3.52542,
767,5BZUJ0528-5820,BlazarUncertaintype,82.14467,-58.33814,0.254
768,5BZQJ0529-0519,QSORLoudflatradiosp.,82.47304,-5.32822,0.685
